Retailer,Address,CITY,ZIP,County,Game,Year,Month,Winnings
AYERCO 21,442 S JOHNSON ST,KAHOKA,63445,CLARK,TRIPLE PLAY,2016,1,16
AYERCO 23,4121 MARKET ST,HANNIBAL,63401,RALLS,TRIPLE PLAY,2016,1,8
AYERCO 22,1208 MARK TWAIN AVE,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,1,22
AYERCO 24,304 US HWY 61  S,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,1,0
AYERCO 25,8800 HWY 24,TAYLOR,63471,MARION,TRIPLE PLAY,2016,1,20
AYERCO 25,8800 HWY 24,TAYLOR,63471,MARION,TRIPLE PLAY,2016,2,0
AYERCO 28,400 N 4TH ST,CANTON,63435,LEWIS,TRIPLE PLAY,2016,1,0
AYERCO 30,1704 S BALTIMORE,KIRKSVILLE,63501,ADAIR,TRIPLE PLAY,2016,1,4
AYERCO 36,301 N CENTER,SHELBINA,63468,SHELBY,TRIPLE PLAY,2016,1,0
AYERCO 26,36430 US HWY 61,ALEXANDRIA,63430,CLARK,TRIPLE PLAY,2016,1,10
AYERCO 65,222 MANSION ST,LOUISIANA,63353,PIKE,TRIPLE PLAY,2016,1,96
BOURBON FAMILY CENTER,W 140 PINE ST,BOURBON,65441,CRAWFORD,TRIPLE PLAY,2016,1,36
BOURBON FAMILY CENTER,W 140 PINE ST,BOURBON,65441,CRAWFORD,TRIPLE PLAY,2016,2,0
CENTRAL MARKET,45 N CLARK ST,SULLIVAN,63080,FRANKLIN,TRIPLE PLAY,2016,1,34
CENTRAL MARKET,45 N CLARK ST,SULLIVAN,63080,FRANKLIN,TRIPLE PLAY,2016,2,0
DO DROP IN CONVENIENCE,1358 S BISHOP AVE,ROLLA,65401,PHELPS,TRIPLE PLAY,2016,1,4
DUER OIL CO,115 N JOHNSON ST,KAHOKA,63445,CLARK,TRIPLE PLAY,2016,1,16
FRICK'S MARKET,401 CENTRAL AVE,UNION,63084,FRANKLIN,TRIPLE PLAY,2016,1,6
FRICK'S MARKET,401 CENTRAL AVE,UNION,63084,FRANKLIN,TRIPLE PLAY,2016,4,0
HEARTLAND DISC PHARMACY,707 HWY 50 W,UNION,63084,FRANKLIN,TRIPLE PLAY,2016,1,0
HICKMAN'S IGA,104 MARYBELL ST,PERRY,63462,RALLS,TRIPLE PLAY,2016,1,0
MIDWAY AUTO/TRUCK PLAZA,6401 W US HWY 40,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,4
MR G'S LIQUOR,306 W BUCHANAN ST,CALIFORNIA,65018,MONITEAU,TRIPLE PLAY,2016,1,28
MR G'S LIQUOR,306 W BUCHANAN ST,CALIFORNIA,65018,MONITEAU,TRIPLE PLAY,2016,2,0
STEVE'S GAS & LIQUOR,205 HWY 21,PILOT KNOB,63663,IRON,TRIPLE PLAY,2016,1,94
STEVE'S GAS & LIQUOR,205 HWY 21,PILOT KNOB,63663,IRON,TRIPLE PLAY,2016,2,0
SCHULTE'S FRESH FOODS,1904 SOUTHWEST BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,120
SCHULTE'S FRESH FOODS,1904 SOUTHWEST BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,2,0
SHOW ME OIL,804 S MAIN ST,AUXVASSE,65231,CALLAWAY,TRIPLE PLAY,2016,1,0
SIGNAL FOOD STORE #105,610 S ASH ST,BUFFALO,65622,DALLAS,TRIPLE PLAY,2016,1,30
U-GAS INTERSTATE 206,W 3628 OSAGE ST,PACIFIC,63069,FRANKLIN,TRIPLE PLAY,2016,1,12
U-GAS SUMMIT STOP 207,2673 HWY 100,GRAY SUMMIT,63039,FRANKLIN,TRIPLE PLAY,2016,1,58
HAYE'S GROCERY,4194 STATE RD 101,BAKERSFIELD,65609,OZARK,TRIPLE PLAY,2016,1,0
PELSUE,116 CHESTNUT ST,WENTWORTH,64873,NEWTON,TRIPLE PLAY,2016,1,0
